homeAway,Ball_Possession_1st_Half,Corners_1st_Half,Fouls_Commited_1st_Half,Goals_1st_Half,Red_Cards_1st_Half,Shots_On_1st_Half,Yellow_Cards_1st_Half,Result,Shots_1st_Half
1,0.10999999999999999,3.0,4.0,1.0,0.0,2.0,2.0,0,3.0
0,-0.10999999999999999,1.0,8.0,1.0,0.0,1.0,0.0,0,5.0
1,-0.03999999999999998,2.0,2.0,0.0,0.0,1.0,0.0,0,2.0
0,0.040000000000000036,6.0,6.0,1.0,0.0,2.0,2.0,0,2.0
1,-0.04999999999999999,5.0,4.0,0.0,0.0,2.0,0.0,0,5.0
0,0.050000000000000044,2.0,6.0,0.0,0.0,1.0,1.0,1,2.0
1,-0.030000000000000027,2.0,4.0,0.0,0.0,1.0,0.0,0,2.0
0,0.030000000000000027,0.0,5.0,0.0,0.0,1.0,0.0,1,3.0
1,-0.04999999999999999,3.0,3.0,1.0,0.0,2.0,2.0,1,4.0
0,0.050000000000000044,4.0,9.0,0.0,0.0,5.0,1.0,0,8.0
1,0.050000000000000044,0.0,5.0,1.0,0.0,1.0,0.0,1,1.0
0,-0.04999999999999999,6.0,7.0,0.0,0.0,2.0,1.0,0,3.0
1,-0.18,0.0,5.0,0.0,0.0,2.0,0.0,1,3.0
0,0.18000000000000005,1.0,2.0,0.0,0.0,0.0,0.0,0,1.0
1,-0.010000000000000009,2.0,4.0,1.0,0.0,3.0,0.0,0,6.0
0,0.010000000000000009,2.0,9.0,0.0,0.0,2.0,1.0,1,3.0
